Question_Number,Manual_Label,Majority_Prediction,Votes_for_Majority,Total_Votes,Consensus_Strength_%,Unanimous,Majority_Correct,All_Predictions
1,D,C,7,24,29.17,False,False,"C(7), G(4), D(3)"
2,NONE,E,12,24,50.0,False,False,"E(12), NONE(10), B(1)"
3,D,E,12,24,50.0,False,False,"E(12), NONE(10), B(1)"
4,NONE,E,7,24,29.17,False,False,"E(7), B(4), NONE(2)"
5,"D,G",F,9,24,37.5,False,False,"F(9), E(3), A,D,F,G(3)"
6,D,D,6,24,25.0,False,True,"D(6), B(6), C,D(2)"
7,D,C,10,24,41.67,False,False,"C(10), E(4), NONE(2)"
8,NONE,E,10,24,41.67,False,False,"E(10), NONE(5), B(4)"
9,"C,D",C,11,24,45.83,False,True,"C(11), NONE(2), G(2)"
10,G,B,6,24,25.0,False,False,"B(6), A,B,C,E,G(4), C(2)"
11,D,E,9,24,37.5,False,False,"E(9), NONE(6), D(5)"
12,"A,C,D",C,9,24,37.5,False,True,"C(9), A,B,C,D(3), A,B,C,D,E,G(3)"
13,"C,D",C,13,24,54.17,False,True,"C(13), B(4), B,C(3)"
14,NONE,NONE,12,24,50.0,False,True,"NONE(12), E(11), B(1)"
15,C,C,12,24,50.0,False,True,"C(12), C,E(4), E(3)"
16,"C,D",C,13,24,54.17,False,True,"C(13), C,D,E(2), C,D(2)"
17,"B,G",B,8,24,33.33,False,True,"B(8), G(3), B,C(2)"
18,"C,D",C,10,24,41.67,False,True,"C(10), C,D(5), E(5)"
19,D,D,9,24,37.5,False,True,"D(9), B(5), D,G(3)"
20,"C,D",E,7,24,29.17,False,False,"E(7), D(5), B(4)"
21,D,C,11,24,45.83,False,False,"C(11), E(5), C,D(2)"
22,NONE,E,6,24,25.0,False,False,"E(6), C(4), B(3)"
23,G,A,10,24,41.67,False,False,"A(10), A,G(7), B(2)"
24,NONE,NONE,12,24,50.0,False,True,"NONE(12), E(12)"
25,C,C,15,24,62.5,False,True,"C(15), C,E(3), A,C,E(2)"
26,C,C,6,24,25.0,False,True,"C(6), E(5), A,C,E,G(3)"
27,C,C,14,24,58.33,False,True,"C(14), A,C,E(3), C,A(1)"
28,"D,F,G",C,4,24,16.67,False,False,"C(4), D(4), A,B,C,D,E,F,G(3)"
29,"C,D,E",E,8,24,33.33,False,True,"E(8), C(3), C,E,G(3)"
30,NONE,E,7,24,29.17,False,False,"E(7), A(6), B(3)"
31,"D,G",G,6,24,25.0,False,True,"G(6), D,G(5), B(3)"
32,G,A,8,24,33.33,False,False,"A(8), C(5), A,B,G(2)"
33,G,B,5,24,20.83,False,False,"B(5), C(4), C,F(2)"
34,"C,D",A,7,24,29.17,False,False,"A(7), A,C,G(3), A,G(3)"
35,"C,D,E",E,6,24,25.0,False,True,"E(6), G(2), A(2)"
36,"C,D",C,9,24,37.5,False,True,"C(9), B(3), C,E,G(2)"
37,NONE,NONE,9,24,37.5,False,True,"NONE(9), E(8), D(7)"
38,"C,D",C,7,24,29.17,False,True,"C(7), C,D,G(3), E(3)"
39,NONE,NONE,11,24,45.83,False,True,"NONE(11), E(11), F(1)"
40,"C,E",A,4,24,16.67,False,False,"A(4), B(3), G(3)"
41,"C,D",G,6,24,25.0,False,False,"G(6), C(4), C,D,G(3)"
42,D,D,7,24,29.17,False,True,"D(7), C(4), A,C,D,E,G(3)"
43,D,NONE,12,24,50.0,False,False,"NONE(12), E(11), D(1)"
44,"C,D",C,4,24,16.67,False,True,"C(4), B(3), C,D,F(3)"
45,"B,C",B,10,24,41.67,False,True,"B(10), A,B,C(6), C(2)"
46,"D,F",F,6,24,25.0,False,True,"F(6), D(5), D,F(5)"
47,D,C,11,24,45.83,False,False,"C(11), NONE(3), B,D(2)"
48,C,C,6,24,25.0,False,True,"C(6), B(5), B,C(3)"
49,"B,C,D",G,6,24,25.0,False,False,"G(6), B(3), A,B,C,D,G(3)"
50,"B,C,D,F",B,5,24,20.83,False,True,"B(5), F(3), C(3)"
51,"C,D,F,G",C,9,24,37.5,False,True,"C(9), B,C,F(5), B(2)"
52,D,D,8,24,33.33,False,True,"D(8), C(5), E(4)"
53,"C,D",NONE,10,24,41.67,False,False,"NONE(10), E(10), D(4)"
54,"C,D",D,14,24,58.33,False,True,"D(14), B(2), D,G(2)"
55,C,C,9,24,37.5,False,True,"C(9), C,D(4), A,C,D,E,G(3)"
56,"C,D,G",D,4,24,16.67,False,True,"D(4), B(4), C(3)"
57,"C,D,G",G,8,24,33.33,False,True,"G(8), C(4), D,F,G(4)"
58,NONE,NONE,12,24,50.0,False,True,"NONE(12), E(11), B,E(1)"
59,NONE,NONE,12,24,50.0,False,True,"NONE(12), E(12)"
60,"C,D,F",C,6,24,25.0,False,True,"C(6), E(5), F(4)"
61,NONE,F,7,24,29.17,False,False,"F(7), B(5), A(3)"
62,D,NONE,10,24,41.67,False,False,"NONE(10), E(9), D(5)"
63,"C,D",B,6,24,25.0,False,False,"B(6), C(6), B,C(4)"
64,NONE,E,12,24,50.0,False,False,"E(12), NONE(11), C(1)"
65,"C,G",F,10,24,41.67,False,False,"F(10), F,G(3), G(2)"
66,C,E,9,24,37.5,False,False,"E(9), NONE(6), D(5)"
67,"C,G",G,16,24,66.67,False,True,"G(16), C(3), C,G(2)"
68,D,D,10,24,41.67,False,True,"D(10), NONE(7), E(7)"
69,"C,G",E,9,24,37.5,False,False,"E(9), A(3), B(2)"
70,NONE,NONE,11,24,45.83,False,True,"NONE(11), E(11), B(2)"
71,NONE,NONE,12,24,50.0,False,True,"NONE(12), E(12)"
72,"C,G",C,10,24,41.67,False,True,"C(10), F(2), G(2)"
73,"C,D",C,6,24,25.0,False,True,"C(6), E(3), D(2)"
74,G,G,8,24,33.33,False,True,"G(8), C(3), A(3)"
75,"C,D",A,5,24,20.83,False,False,"A(5), D(3), B(2)"
76,"C,G",C,14,24,58.33,False,True,"C(14), E(5), NONE(3)"
77,"C,D,F,G",E,6,24,25.0,False,False,"E(6), C(5), D,E,F,G,C(2)"
78,"D,G",B,6,24,25.0,False,False,"B(6), C(3), B,C,D,G(3)"
79,"C,D,E",A,7,24,29.17,False,False,"A(7), D(4), A,D(3)"
80,"C,G",C,4,24,16.67,False,True,"C(4), B(3), E(3)"
81,"C,D,G",C,7,24,29.17,False,True,"C(7), B(5), E(3)"
82,"C,G",C,16,24,66.67,False,True,"C(16), G(2), A,C(2)"
83,G,B,12,24,50.0,False,False,"B(12), A(4), A,B(4)"
84,"B,C,G",B,12,24,50.0,False,True,"B(12), A,B,G(3), A,B(3)"
85,D,G,6,24,25.0,False,False,"G(6), B(4), C(2)"
86,"C,F,G",B,19,24,79.17,False,False,"B(19), B,G(3), A,B,F(1)"
87,NONE,E,7,24,29.17,False,False,"E(7), NONE(6), G(5)"
88,NONE,NONE,12,24,50.0,False,True,"NONE(12), E(12)"
89,NONE,E,11,24,45.83,False,False,"E(11), NONE(10), C(1)"
90,"C,D,F",F,6,24,25.0,False,True,"F(6), D,F(6), D(5)"
91,"D,F",F,11,24,45.83,False,True,"F(11), E(4), D(2)"
92,NONE,NONE,12,24,50.0,False,True,"NONE(12), E(12)"
93,"C,D,F,G",G,5,24,20.83,False,True,"G(5), D(3), B(2)"
94,"A,B,G",B,11,24,45.83,False,True,"B(11), C(3), B,C(3)"
95,"A,B,E,G","A,B,C,E,G",6,24,25.0,False,False,"A,B,C,E,G(6), B(5), A(4)"
96,NONE,NONE,11,24,45.83,False,True,"NONE(11), E(11), B(1)"
97,"A,C,G",A,14,24,58.33,False,True,"A(14), A,C,G(2), A,B,E,G(2)"
98,"A,C,G","A,B,C,E,G",8,24,33.33,False,False,"A,B,C,E,G(8), E(6), B(3)"
99,C,A,14,24,58.33,False,False,"A(14), G(3), C(3)"
100,"B,C,G",B,8,24,33.33,False,True,"B(8), C(4), B,C,G(4)"
