Model,Category,Questions,Total_Predictions,Correct,Accuracy_%
anthropic_claude-sonnet-4.5,A,5,20,9,45.0
anthropic_claude-sonnet-4.5,B,8,32,13,40.62
anthropic_claude-sonnet-4.5,C,51,204,82,40.2
anthropic_claude-sonnet-4.5,D,49,196,62,31.63
anthropic_claude-sonnet-4.5,E,5,20,6,30.0
anthropic_claude-sonnet-4.5,F,10,40,15,37.5
anthropic_claude-sonnet-4.5,G,31,124,40,32.26
anthropic_claude-sonnet-4.5,NONE,20,80,33,41.25
deepseek_deepseek-v3.2,A,5,20,5,25.0
deepseek_deepseek-v3.2,B,8,32,12,37.5
deepseek_deepseek-v3.2,C,51,204,37,18.14
deepseek_deepseek-v3.2,D,49,196,21,10.71
deepseek_deepseek-v3.2,E,5,20,4,20.0
deepseek_deepseek-v3.2,F,10,40,7,17.5
deepseek_deepseek-v3.2,G,31,124,21,16.94
deepseek_deepseek-v3.2,NONE,20,80,23,28.75
google_gemini-2.5-flash,A,5,20,8,40.0
google_gemini-2.5-flash,B,8,32,16,50.0
google_gemini-2.5-flash,C,51,204,76,37.25
google_gemini-2.5-flash,D,49,196,58,29.59
google_gemini-2.5-flash,E,5,20,4,20.0
google_gemini-2.5-flash,F,10,40,21,52.5
google_gemini-2.5-flash,G,31,124,46,37.1
google_gemini-2.5-flash,NONE,20,80,29,36.25
openai_gpt-5.2,A,5,20,8,40.0
openai_gpt-5.2,B,8,32,12,37.5
openai_gpt-5.2,C,51,204,96,47.06
openai_gpt-5.2,D,49,196,90,45.92
openai_gpt-5.2,E,5,20,10,50.0
openai_gpt-5.2,F,10,40,19,47.5
openai_gpt-5.2,G,31,124,43,34.68
openai_gpt-5.2,NONE,20,80,29,36.25
openai_gpt-oss-120b,A,5,20,9,45.0
openai_gpt-oss-120b,B,8,32,13,40.62
openai_gpt-oss-120b,C,51,204,93,45.59
openai_gpt-oss-120b,D,49,196,78,39.8
openai_gpt-oss-120b,E,5,20,7,35.0
openai_gpt-oss-120b,F,10,40,17,42.5
openai_gpt-oss-120b,G,31,124,46,37.1
openai_gpt-oss-120b,NONE,20,80,35,43.75
qwen_qwen3-coder,A,5,20,10,50.0
qwen_qwen3-coder,B,8,32,16,50.0
qwen_qwen3-coder,C,51,204,57,27.94
qwen_qwen3-coder,D,49,196,34,17.35
qwen_qwen3-coder,E,5,20,5,25.0
qwen_qwen3-coder,F,10,40,11,27.5
qwen_qwen3-coder,G,31,124,29,23.39
qwen_qwen3-coder,NONE,20,80,27,33.75
