Model,Mode,Run1_Correct,Run2_Correct,Total,Run1_Accuracy_%,Run2_Accuracy_%,Agreement_Rate_%,Consistency_%,Accuracy_Difference_%
anthropic_claude-sonnet-4.5,single,59,56,100,59.0,56.0,66.0,79.0,3.0
anthropic_claude-sonnet-4.5,multi,10,15,100,10.0,15.0,44.0,93.0,5.0
deepseek_deepseek-v3.2,single,28,31,100,28.0,31.0,56.0,79.0,3.0
deepseek_deepseek-v3.2,multi,3,5,100,3.0,5.0,33.0,92.0,2.0
google_gemini-2.5-flash,single,54,53,100,54.0,53.0,67.0,83.0,1.0
google_gemini-2.5-flash,multi,13,13,100,13.0,13.0,43.0,88.0,0.0
openai_gpt-5.2,single,70,69,100,70.0,69.0,85.0,91.0,1.0
openai_gpt-5.2,multi,10,13,100,10.0,13.0,66.0,95.0,3.0
openai_gpt-oss-120b,single,63,68,100,63.0,68.0,75.0,85.0,5.0
openai_gpt-oss-120b,multi,14,15,100,14.0,15.0,54.0,93.0,1.0
qwen_qwen3-coder,single,46,45,100,46.0,45.0,78.0,91.0,1.0
qwen_qwen3-coder,multi,2,1,100,2.0,1.0,49.0,99.0,1.0
