case_a_precision,case_b_recall,case_c_any_overlap,case_d_jaccard,intersection_size,pred_size,manual_size,pred_labels,manual_labels,sample_id,model,run
0.0,0.0,1.0,0.25,1,3,2,"D,E,F","D,G",5,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,D",9,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6,3,5,3,"A,B,C,D,G","A,C,D",12,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"C,F","C,D",13,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,D",16,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"C,G","B,G",17,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,2,2,2,"C,D","C,D",18,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,0.0,0.0,0,1,2,B,"C,D",20,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.16666666666666666,1,4,3,"B,C,D,E","D,F,G",28,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.5,2,3,3,"C,E,G","C,D,E",29,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,2,2,2,"D,G","D,G",31,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.25,1,3,2,"A,C,G","C,D",34,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.75,3,4,3,"C,D,E,G","C,D,E",35,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.25,1,3,2,"C,E,G","C,D",36,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,G","C,D",38,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.2,1,4,2,"A,B,E,G","C,E",40,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,G","C,D",41,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"D,G","C,D",44,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"A,B,C","B,C",45,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,2,2,2,"D,F","D,F",46,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6,3,5,3,"A,B,C,D,G","B,C,D",49,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6666666666666666,4,6,4,"B,C,D,E,F,G","B,C,D,F",50,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.3333333333333333,2,4,4,"A,B,C,G","C,D,F,G",51,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",53,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.5,1,1,2,D,"C,D",54,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.4,2,4,3,"A,C,D,E","C,D,G",56,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,3,3,3,"C,D,G","C,D,G",57,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6,3,5,3,"A,C,D,F,G","C,D,F",60,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",63,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,G","C,G",65,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.5,1,1,2,G,"C,G",67,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.25,1,3,2,"A,C,E","C,G",69,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,0.0,0.0,0,2,2,"D,F","C,G",72,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.5,2,4,2,"B,C,D,G","C,D",73,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.5,2,4,2,"A,C,D,E","C,D",75,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,G",76,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.8,4,5,4,"C,D,E,F,G","C,D,F,G",77,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"C,D","D,G",78,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.5,2,3,3,"A,C,D","C,D,E",79,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.4,2,5,2,"B,C,D,F,G","C,G",80,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.4,2,4,3,"B,C,D,E","C,D,G",81,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,G",82,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,3,3,3,"B,C,G","B,C,G",84,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.3333333333333333,1,1,3,B,"B,F,G",86,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.6666666666666666,2,2,3,"D,F","C,D,F",90,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"D,F,G","D,F",91,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.75,3,3,4,"D,F,G","C,D,F,G",93,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.25,1,2,3,"B,C","A,B,G",94,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.6,3,4,4,"B,C,E,G","A,B,E,G",95,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,3,3,3,"A,C,G","A,C,G",97,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6,3,5,3,"A,B,C,E,G","A,C,G",98,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,3,3,3,"B,C,G","B,C,G",100,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"D,G",5,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,2,2,"A,G","C,D",9,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.2,1,3,3,"A,B,G","A,C,D",12,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"B,C","C,D",13,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.2,1,4,2,"B,C,E,G","C,D",16,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"A,B","B,G",17,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",18,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",20,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.42857142857142855,3,7,3,"A,B,C,D,E,F,G","D,F,G",28,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.3333333333333333,2,5,3,"A,B,C,E,G","C,D,E",29,deepseek_deepseek-v3.2,results_run1
1.0,0.0,1.0,0.5,1,1,2,D,"D,G",31,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,3,2,"A,B,E","C,D",34,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.3333333333333333,2,5,3,"A,B,C,E,G","C,D,E",35,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.3333333333333333,2,6,2,"A,B,C,D,E,G","C,D",36,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",38,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.4,2,5,2,"A,B,C,E,G","C,E",40,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.4,2,5,2,"A,B,C,D,E","C,D",41,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.4,2,5,2,"A,B,C,D,E","C,D",44,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"B,C,G","B,C",45,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"D,F",46,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.4,2,4,3,"A,B,D,E","B,C,D",49,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.3333333333333333,2,4,4,"B,C,E,G","B,C,D,F",50,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.16666666666666666,1,3,4,"A,E,G","C,D,F,G",51,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",53,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,A,"C,D",54,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,3,3,"A,B,E","C,D,G",56,deepseek_deepseek-v3.2,results_run1
1.0,0.0,1.0,0.6666666666666666,2,2,3,"C,D","C,D,G",57,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.42857142857142855,3,7,3,"A,B,C,D,E,F,G","C,D,F",60,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"B,C","C,D",63,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.3333333333333333,2,6,2,"B,C,D,E,F,G","C,G",65,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.5,2,4,2,"A,B,C,G","C,G",67,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.25,1,3,2,"A,B,G","C,G",69,deepseek_deepseek-v3.2,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,G",72,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,3,2,"E,F,G","C,D",73,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.16666666666666666,1,5,2,"A,B,D,E,G","C,D",75,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,G",76,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.6666666666666666,4,6,4,"B,C,D,E,F,G","C,D,F,G",77,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.2,1,4,2,"B,C,E,G","D,G",78,deepseek_deepseek-v3.2,results_run1
1.0,0.0,1.0,0.6666666666666666,2,2,3,"D,E","C,D,E",79,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,G",80,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.5,3,6,3,"A,B,C,D,E,G","C,D,G",81,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.2,1,4,2,"A,B,E,G","C,G",82,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.6,3,5,3,"A,B,C,E,G","B,C,G",84,deepseek_deepseek-v3.2,results_run1
1.0,0.0,1.0,0.6666666666666666,2,2,3,"B,G","B,F,G",86,deepseek_deepseek-v3.2,results_run1
1.0,0.0,1.0,0.3333333333333333,1,1,3,D,"C,D,F",90,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"D,F",91,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.16666666666666666,1,3,4,"A,B,C","C,D,F,G",93,deepseek_deepseek-v3.2,results_run1
0.0,0.0,0.0,0.0,0,1,3,E,"A,B,G",94,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.8,4,5,4,"A,B,C,E,G","A,B,E,G",95,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.4,2,4,3,"A,B,E,G","A,C,G",97,deepseek_deepseek-v3.2,results_run1
0.0,1.0,1.0,0.6,3,5,3,"A,B,C,E,G","A,C,G",98,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.2,1,3,3,"A,B,E","B,C,G",100,deepseek_deepseek-v3.2,results_run1
0.0,0.0,1.0,0.2,1,4,2,"B,E,F,G","D,G",5,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,A,"C,D",9,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.5,2,3,3,"A,C,G","A,C,D",12,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",13,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.25,1,3,2,"A,C,E","C,D",16,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.5,1,1,2,G,"B,G",17,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",18,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,D",20,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.5,2,3,3,"C,D,G","D,F,G",28,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.5,2,3,3,"C,E,G","C,D,E",29,google_gemini-2.5-flash,results_run1
1.0,1.0,1.0,1.0,2,2,2,"D,G","D,G",31,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.2,1,4,2,"A,D,E,G","C,D",34,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.6666666666666666,2,2,3,"C,E","C,D,E",35,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",36,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",38,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,G,"C,E",40,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"C,G","C,D",41,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,2,2,"E,G","C,D",44,google_gemini-2.5-flash,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"A,B,C","B,C",45,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.5,1,1,2,D,"D,F",46,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,3,G,"B,C,D",49,google_gemini-2.5-flash,results_run1
0.0,1.0,1.0,0.6666666666666666,4,6,4,"A,B,C,D,F,G","B,C,D,F",50,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.75,3,3,4,"C,D,G","C,D,F,G",51,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",53,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.5,1,1,2,D,"C,D",54,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.25,1,2,3,"E,G","C,D,G",56,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,3,E,"C,D,G",57,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,3,E,"C,D,F",60,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,D",63,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,F,"C,G",65,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.5,1,1,2,G,"C,G",67,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"A,G","C,G",69,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,G",72,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,D",73,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.2,1,4,2,"A,B,C,E","C,D",75,google_gemini-2.5-flash,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,G",76,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.2,1,2,4,"E,G","C,D,F,G",77,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.25,1,3,2,"A,C,G","D,G",78,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.3333333333333333,2,5,3,"A,B,C,E,G","C,D,E",79,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"D,G","C,G",80,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.25,1,2,3,"F,G","C,D,G",81,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.5,1,1,2,G,"C,G",82,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.5,2,3,3,"A,B,G","B,C,G",84,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.3333333333333333,1,1,3,B,"B,F,G",86,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.3333333333333333,1,1,3,D,"C,D,F",90,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.5,1,1,2,F,"D,F",91,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.4,2,3,4,"D,E,F","C,D,F,G",93,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.3333333333333333,1,1,3,B,"A,B,G",94,google_gemini-2.5-flash,results_run1
0.0,0.0,1.0,0.4,2,3,4,"A,C,G","A,B,E,G",95,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.6666666666666666,2,2,3,"A,G","A,C,G",97,google_gemini-2.5-flash,results_run1
0.0,1.0,1.0,0.6,3,5,3,"A,B,C,E,G","A,C,G",98,google_gemini-2.5-flash,results_run1
1.0,0.0,1.0,0.6666666666666666,2,2,3,"B,G","B,C,G",100,google_gemini-2.5-flash,results_run1
0.0,1.0,1.0,0.5,2,4,2,"A,D,F,G","D,G",5,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,E","C,D",9,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.75,3,4,3,"A,B,C,D","A,C,D",12,openai_gpt-5.2,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,D",13,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,E","C,D",16,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"B,C","B,G",17,openai_gpt-5.2,results_run1
1.0,1.0,1.0,1.0,2,2,2,"C,D","C,D",18,openai_gpt-5.2,results_run1
1.0,0.0,1.0,0.5,1,1,2,D,"C,D",20,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.4,2,4,3,"C,D,E,F","D,F,G",28,openai_gpt-5.2,results_run1
1.0,1.0,1.0,1.0,3,3,3,"C,D,E","C,D,E",29,openai_gpt-5.2,results_run1
1.0,1.0,1.0,1.0,2,2,2,"D,G","D,G",31,openai_gpt-5.2,results_run1
0.0,0.0,0.0,0.0,0,2,2,"A,G","C,D",34,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.5,2,3,3,"D,E,G","C,D,E",35,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.25,1,3,2,"B,C,E","C,D",36,openai_gpt-5.2,results_run1
1.0,1.0,1.0,1.0,2,2,2,"C,D","C,D",38,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.25,1,3,2,"B,C,G","C,E",40,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,G","C,D",41,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,F","C,D",44,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"A,B,C","B,C",45,openai_gpt-5.2,results_run1
1.0,1.0,1.0,1.0,2,2,2,"D,F","D,F",46,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.4,2,4,3,"A,B,D,G","B,C,D",49,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.8,4,5,4,"B,C,D,F,G","B,C,D,F",50,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.4,2,3,4,"B,C,F","C,D,F,G",51,openai_gpt-5.2,results_run1
1.0,0.0,1.0,0.5,1,1,2,D,"C,D",53,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"D,G","C,D",54,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.5,2,3,3,"C,D,E","C,D,G",56,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.5,2,3,3,"D,F,G","C,D,G",57,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.75,3,4,3,"A,C,D,F","C,D,F",60,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"B,C,D","C,D",63,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"F,G","C,G",65,openai_gpt-5.2,results_run1
1.0,1.0,1.0,1.0,2,2,2,"C,G","C,G",67,openai_gpt-5.2,results_run1
0.0,0.0,0.0,0.0,0,1,2,E,"C,G",69,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.25,1,3,2,"C,D,F","C,G",72,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,G","C,D",73,openai_gpt-5.2,results_run1
1.0,1.0,1.0,1.0,2,2,2,"C,D","C,D",75,openai_gpt-5.2,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,G",76,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.6,3,4,4,"C,D,E,F","C,D,F,G",77,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.5,2,4,2,"B,C,D,G","D,G",78,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.25,1,2,3,"A,D","C,D,E",79,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.5,2,4,2,"C,D,F,G","C,G",80,openai_gpt-5.2,results_run1
0.0,1.0,1.0,0.75,3,4,3,"B,C,D,G","C,D,G",81,openai_gpt-5.2,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,G",82,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.25,1,2,3,"A,B","B,C,G",84,openai_gpt-5.2,results_run1
1.0,0.0,1.0,0.3333333333333333,1,1,3,B,"B,F,G",86,openai_gpt-5.2,results_run1
1.0,0.0,1.0,0.6666666666666666,2,2,3,"D,F","C,D,F",90,openai_gpt-5.2,results_run1
1.0,1.0,1.0,1.0,2,2,2,"D,F","D,F",91,openai_gpt-5.2,results_run1
0.0,0.0,1.0,0.4,2,3,4,"A,F,G","C,D,F,G",93,openai_gpt-5.2,results_run1
