sample_id,model,pred_labels,manual_labels,run
20,anthropic_claude-sonnet-4.5,B,"C,D",results_run1
53,anthropic_claude-sonnet-4.5,E,"C,D",results_run1
63,anthropic_claude-sonnet-4.5,E,"C,D",results_run1
72,anthropic_claude-sonnet-4.5,"D,F","C,G",results_run1
34,openai_gpt-5.2,"A,G","C,D",results_run1
69,openai_gpt-5.2,E,"C,G",results_run1
20,openai_gpt-oss-120b,E,"C,D",results_run1
40,openai_gpt-oss-120b,"A,B,G","C,E",results_run1
53,openai_gpt-oss-120b,E,"C,D",results_run1
54,openai_gpt-oss-120b,E,"C,D",results_run1
73,openai_gpt-oss-120b,"A,B,F,G","C,D",results_run1
53,anthropic_claude-sonnet-4.5,E,"C,D",results_run2
63,anthropic_claude-sonnet-4.5,B,"C,D",results_run2
69,anthropic_claude-sonnet-4.5,"A,B,E","C,G",results_run2
34,openai_gpt-5.2,"A,G","C,D",results_run2
69,openai_gpt-5.2,E,"C,G",results_run2
20,openai_gpt-oss-120b,E,"C,D",results_run2
34,openai_gpt-oss-120b,"A,G","C,D",results_run2
40,openai_gpt-oss-120b,"A,B,G","C,E",results_run2
53,openai_gpt-oss-120b,E,"C,D",results_run2
69,openai_gpt-oss-120b,E,"C,G",results_run2
